val1,val2,lab1,lab2
8.593669,4.585875,0,1
6.713451,2.849798,0,1
9.448405,5.907823,0,1
6.406651,15.218897,0,1
13.67891,8.548337,0,1
7.716228,4.737191,0,1
6.491755,4.287406,0,1
10.659677,6.849685,0,1
3.721377,1.123224,0,1
9.206237,5.580367,0,1
5.039007,2.482282,0,1
12.796541,8.007015,0,1
10.165139,6.351534,0,1
9.492715,4.588972,0,1
9.678361,6.195913,0,1
4.569101,2.858814,0,1
10.527224,6.576619,0,1
5.619566,3.098491,0,1
12.244496,7.255161,0,1
13.939318,8.599013,0,1
9.121218,5.459806,0,1
6.127162,17.119337,0,1
10.893767,6.584597,0,1
6.646253,3.968486,0,1
2.304036,1.295732,0,1
4.994847,2.570203,0,1
10.992035,6.410365,0,1
13.178509,4.499036,0,1
5.337485,3.098982,0,1
5.204486,0.35705,0,1
5.760049,3.393226,0,1
12.641988,7.72231,0,1
15.362432,9.702541,0,1
12.527603,7.759116,0,1
6.944421,3.750197,0,1
6.331029,0.223721,0,1
15.671994,9.47708,0,1
12.661241,5.823708,0,1
9.458039,1.358622,0,1
11.300616,1.28401,0,1
4.078621,2.921533,0,1
14.259538,8.734245,0,1
10.676717,6.854981,0,1
10.319844,6.179129,0,1
12.257941,5.518047,0,1
5.823517,3.747256,0,1
9.398306,5.11814,0,1
1.513076,0.686462,0,1
8.634099,4.525272,0,1
1.967539,1.913747,0,1
15.717559,6.167934,0,1
11.945573,0.818426,0,1
2.130507,0.659692,0,1
5.507612,3.492258,0,1
11.080923,2.94912,0,1
13.017052,6.77543,0,1
16.366188,10.274511,0,1
11.682783,5.70495,0,1
6.478484,16.149656,0,1
15.901303,1.464174,0,1
14.117093,2.572327,0,1
11.560217,1.757794,0,1
14.264773,2.676876,0,1
15.042557,2.333366,0,1
16.147636,2.265813,0,1
15.416119,0.834606,0,1
19.073706,1.668173,0,1
9.699216,9.751308,0,1
13.854138,2.262047,0,1
13.665975,2.520833,0,1
7.913763,7.765038,0,1
13.233663,2.279505,0,1
15.684286,1.576561,0,1
19.187977,3.414596,0,1
15.698678,1.478847,0,1
18.35682,3.504228,0,1
12.225762,2.403436,0,1
8.881278,7.412528,0,1
20.11227,0.01988,0,1
12.289394,2.117284,0,1
13.041218,0,0,1
10.91105,0.929819,0,1
7.470202,0.576442,0,1
18.705246,0.879107,0,1
24.308235,0,0,1
13.923343,2.545869,0,1
14.671861,0.80785,0,1
14.899467,1.449379,0,1
19.007496,1.18359,0,1
19.281437,1.010014,0,1
16.004204,0.453097,0,1
13.244571,2.008852,0,1
13.994369,0.785531,0,1
14.080088,0.703781,0,1
13.317182,1.12071,0,1
10.147595,0.736193,0,1
15.582223,0.215203,0,1
11.062577,1.389837,0,1
16.582273,0.729008,0,1
11.19262,1.66581,0,1
13.53796,2.059967,0,1
11.183703,1.216276,0,1
10.139119,1.675879,0,1
9.981734,1.019783,0,1
16.110102,0,0,1
6.610427,5.468838,0,1
13.445415,14.42623,0,1
6.256414,3.69527,0,1
6.210047,4.354907,0,1
7.864726,1.942017,0,1
12.517356,1.502681,0,1
12.035527,0.92831,0,1
23.32476,0,0,1
13.695458,1.266674,0,1
14.019449,0.825321,0,1
14.028327,0.168898,0,1
13.25164,0.066335,0,1
14.509336,2.044305,0,1
7.669218,4.585747,0,1
16.957973,0.671616,0,1
12.41652,1.844957,0,1
15.444267,2.52928,0,1
13.193047,1.693597,0,1
12.826469,1.08205,0,1
17.591578,1.354182,0,1
15.307012,2.277989,0,1
16.562857,1.739688,0,1
15.650968,2.14906,0,1
19.92804,1.255942,0,1
13.82565,2.179488,0,1
13.650589,0.793774,0,1
16.377071,1.854104,0,1
17.705063,0,0,1
15.031236,0.546816,0,1
13.988484,2.446236,0,1
14.193549,1.012693,0,1
6.484602,5.278065,0,1
12.336209,1.504171,0,1
12.486576,1.734517,0,1
12.917827,2.233288,0,1
16.098194,1.377422,0,1
25.526943,0,0,1
21.934418,0,0,1
12.303771,4.920225,0,1
19.743723,0,0,1
19.42174,4.689021,0,1
12.278737,2.798271,0,1
8.300406,8.262468,0,1
11.911647,2.134094,0,1
2.599008,2.963891,0,1
